title,text,url,source,category,published_at,preprocessed_text,sentiment_neg,sentiment_pos,sentiment_neutral,sentiment,sentiment_group,ORG_entities,GPE_entities
Bacanora Lithium (LON:BCN) Share Price Crosses Below Fifty Day Moving Average of $67.00,"Bacanora Lithium Plc (LON:BCN &#8211; Get Rating)&#8217;s share price passed below its fifty day moving average during trading on Wednesday . The stock has a fifty day moving average of GBX 67 ($0.83) and traded as low as GBX 67 ($0.83). Bacanora Lithium shares last traded at GBX 67 ($0.83), with a volume of 238,939 [&#8230;]",https://www.etfdailynews.com/2023/06/08/bacanora-lithium-lonbcn-share-price-crosses-below-fifty-day-moving-average-of-67-00/,etfdailynews,general,2023-06-08T10:10:43+00:00,"['bacanora', 'lithium', 'plc', 'lonbcn', '8211', 'get', 'rating8217s', 'share', 'price', 'passed', 'fifty', 'day', 'moving', 'average', 'trading', 'wednesday', 'stock', 'fifty', 'day', 'moving', 'average', 'gbx', '67', '083', 'traded', 'low', 'gbx', '67', '083', 'bacanora', 'lithium', 'share', 'last', 'traded', 'gbx', '67', '083', 'volume', '238939', '8230']",0.048,0.101,0.851,0.3182,Positive,['bacanora lithium plc lonbcn 8211'],[]
Bacanora Lithium (LON:BCN) Stock Passes Below 50-Day Moving Average of $67.00,"Bacanora Lithium Plc (LON:BCN &#8211; Get Rating) shares crossed below its 50-day moving average during trading on Wednesday . The stock has a 50-day moving average of GBX 67 ($0.83) and traded as low as GBX 67 ($0.83). Bacanora Lithium shares last traded at GBX 67 ($0.83), with a volume of 238,939 shares trading hands. [&#8230;]",https://www.americanbankingnews.com/2023/06/08/bacanora-lithium-lonbcn-stock-passes-below-50-day-moving-average-of-67-00.html,americanbankingnews,general,2023-06-08T10:10:42+00:00,"['bacanora', 'lithium', 'plc', 'lonbcn', '8211', 'get', 'rating', 'share', 'crossed', '50day', 'moving', 'average', 'trading', 'wednesday', 'stock', '50day', 'moving', 'average', 'gbx', '67', '083', 'traded', 'low', 'gbx', '67', '083', 'bacanora', 'lithium', 'share', 'last', 'traded', 'gbx', '67', '083', 'volume', '238939', 'share', 'trading', 'hand', '8230']",0.045,0.209,0.746,0.7717,Positive,['bacanora lithium plc lonbcn 8211'],[]
Lithium Americas Corp. (NYSE:LAC) Holdings Raised by Advisor Group Holdings Inc.,"Advisor Group Holdings Inc. lifted its stake in shares of Lithium Americas Corp. (NYSE:LAC &#8211; Get Rating) by 9.1% during the fourth quarter, Holdings Channel.com reports. The firm owned 116,082 shares of the company&#8217;s stock after acquiring an additional 9,726 shares during the period. Advisor Group Holdings Inc.&#8217;s holdings in Lithium Americas were worth $2,201,000 [&#8230;]",https://www.etfdailynews.com/2023/06/08/lithium-americas-corp-nyselac-holdings-raised-by-advisor-group-holdings-inc/,etfdailynews,general,2023-06-08T10:06:46+00:00,"['advisor', 'group', 'holding', 'inc', 'lifted', 'stake', 'share', 'lithium', 'america', 'corp', 'nyselac', '8211', 'get', 'rating', '91', 'fourth', 'quarter', 'holding', 'channelcom', 'report', 'firm', 'owned', '116082', 'share', 'company8217s', 'stock', 'acquiring', 'additional', '9726', 'share', 'period', 'advisor', 'group', 'holding', 'inc8217s', 'holding', 'lithium', 'america', 'worth', '2201000', '8230']",0.0,0.187,0.813,0.7579,Positive,"['advisor group holding inc', 'america corp nyselac', 'company8217s']",[]
ATLX LAWSUIT ALERT: Levi & Korsinsky Notifies Atlas Lithium Corporation Investors of a Class Action Lawsuit and Upcoming Deadline,"(marketscreener.com) NEW YORK, June 8, 2023 /PRNewswire/ -- Levi &amp; Korsinsky, LLP notifies investors in Atlas Lithium Corporation of a class action securities lawsuit. CLASS DEFINITION: The lawsuit seeks to recover losses on behalf of Atlas...https://www.marketscreener.com/quote/stock/ATLAS-LITHIUM-CORPORATION-120795033/news/ATLX-LAWSUIT-ALERT-Levi-Korsinsky-Notifies-Atlas-Lithium-Corporation-Investors-of-a-Class-Action-44068906/?utm_medium=RSS&utm_content=20230608",https://www.marketscreener.com/quote/stock/ATLAS-LITHIUM-CORPORATION-120795033/news/ATLX-LAWSUIT-ALERT-Levi-Korsinsky-Notifies-Atlas-Lithium-Corporation-Investors-of-a-Class-Action-44068906/?utm_medium=RSS&utm_content=20230608,4-traders,general,2023-06-08T09:46:24+00:00,"['marketscreenercom', 'new', 'york', 'june', '8', '2023', 'prnewswire', 'levi', 'amp', 'korsinsky', 'llp', 'notifies', 'investor', 'atlas', 'lithium', 'corporation', 'class', 'action', 'security', 'lawsuit', 'class', 'definition', 'lawsuit', 'seek', 'recover', 'loss', 'behalf', 'atlas']",0.194,0.076,0.73,-0.4019,Negative,[],['new york']
"HRT Financial LP Sells 4,098 Shares of Global X Lithium & Battery Tech ETF (NYSEARCA:LIT)","HRT Financial LP trimmed its holdings in Global X Lithium & Battery Tech ETF (NYSEARCA:LIT &#8211; Get Rating) by 46.5% in the 4th quarter, HoldingsChannel.com reports. The fund owned 4,716 shares of the company&#8217;s stock after selling 4,098 shares during the quarter. HRT Financial LP&#8217;s holdings in Global X Lithium & Battery Tech ETF were [&#8230;]",https://www.etfdailynews.com/2023/06/08/hrt-financial-lp-sells-4098-shares-of-global-x-lithium-battery-tech-etf-nysearcalit/,etfdailynews,general,2023-06-08T09:36:44+00:00,"['hrt', 'financial', 'lp', 'trimmed', 'holding', 'global', 'x', 'lithium', 'battery', 'tech', 'etf', 'nysearcalit', '8211', 'get', 'rating', '465', '4th', 'quarter', 'holdingschannelcom', 'report', 'fund', 'owned', '4716', 'share', 'company8217s', 'stock', 'selling', '4098', 'share', 'quarter', 'hrt', 'financial', 'lp8217s', 'holding', 'global', 'x', 'lithium', 'battery', 'tech', 'etf', '8230']",0.0,0.106,0.894,0.5267,Positive,['company8217s'],['lp8217s']
"Citigroup Inc. Acquires 18,181 Shares of Lithium Americas Corp. (NYSE:LAC)","Citigroup Inc. grew its holdings in shares of Lithium Americas Corp. (NYSE:LAC &#8211; Get Rating) by 10,509.2% during the fourth quarter, according to its most recent 13F filing with the SEC. The institutional investor owned 18,354 shares of the company&#8217;s stock after buying an additional 18,181 shares during the period. Citigroup Inc.&#8217;s holdings in Lithium [&#8230;]",https://www.etfdailynews.com/2023/06/08/citigroup-inc-acquires-18181-shares-of-lithium-americas-corp-nyselac/,etfdailynews,general,2023-06-08T08:40:52+00:00,"['citigroup', 'inc', 'grew', 'holding', 'share', 'lithium', 'america', 'corp', 'nyselac', '8211', 'get', 'rating', '105092', 'fourth', 'quarter', 'according', 'recent', '13f', 'filing', 'sec', 'institutional', 'investor', 'owned', '18354', 'share', 'company8217s', 'stock', 'buying', 'additional', '18181', 'share', 'period', 'citigroup', 'inc8217s', 'holding', 'lithium', '8230']",0.0,0.163,0.837,0.6808,Positive,"['citigroup inc', 'america corp nyselac', 'sec', 'company8217s']",[]
Critical Contrast: 5E Advanced Materials (NASDAQ:FEAM) versus Atlas Lithium (NASDAQ:ATLX),"5E Advanced Materials (NASDAQ:FEAM &#8211; Get Rating) and Atlas Lithium (NASDAQ:ATLX &#8211; Get Rating) are both small-cap basic materials companies, but which is the superior investment? We will contrast the two businesses based on the strength of their earnings, institutional ownership, risk, analyst recommendations, profitability, valuation and dividends. Analyst Recommendations This is a summary of [&#8230;]",https://www.americanbankingnews.com/2023/06/08/critical-contrast-5e-advanced-materials-nasdaqfeam-versus-atlas-lithium-nasdaqatlx.html,americanbankingnews,general,2023-06-08T07:50:45+00:00,"['5e', 'advanced', 'material', 'nasdaqfeam', '8211', 'get', 'rating', 'atlas', 'lithium', 'nasdaqatlx', '8211', 'get', 'rating', 'smallcap', 'basic', 'material', 'company', 'superior', 'investment', 'contrast', 'two', 'business', 'based', 'strength', 'earnings', 'institutional', 'ownership', 'risk', 'analyst', 'recommendation', 'profitability', 'valuation', 'dividend', 'analyst', 'recommendation', 'summary', '8230']",0.047,0.241,0.713,0.8271,Positive,[],[]
Atlantic Lithium (OTC:ALLIF) Trading 6.2% Higher,"Atlantic Lithium Limited (OTC:ALLIF &#8211; Get Rating)&#8217;s share price traded up 6.2% during trading on Wednesday . The company traded as high as $0.43 and last traded at $0.43. 59,927 shares changed hands during mid-day trading, an increase of 19% from the average session volume of 50,570 shares. The stock had previously closed at $0.40. [&#8230;]",https://www.etfdailynews.com/2023/06/08/atlantic-lithium-otcallif-trading-6-2-higher/,etfdailynews,general,2023-06-08T07:32:46+00:00,"['atlantic', 'lithium', 'limited', 'otcallif', '8211', 'get', 'rating8217s', 'share', 'price', 'traded', '62', 'trading', 'wednesday', 'company', 'traded', 'high', '043', 'last', 'traded', '043', '59927', 'share', 'changed', 'hand', 'midday', 'trading', 'increase', '19', 'average', 'session', 'volume', '50570', 'share', 'stock', 'previously', 'closed', '040', '8230']",0.041,0.263,0.696,0.8481,Positive,[],[]
CAT Strategic Metals : STAKES MORE GROUND AROUND ITS GOLD JACKPOT PROPERTY; LITHIUM TARGETS ARE TOP PRIORITIES WITH A GEOLOGICAL TEAM ON-SITE TO INITIATE COMPREHENSIVE WORK PROGRAM PLANNING,"(marketscreener.com) &bull; Increased Land Position in Known Lithium Discovery Area &bull; Lithium and Tellurium Exploration Planning Underway VANCOUVER, BC June 8, 2023 - CAT Strategic Metals Corporation announces that consulting geologists Rick Redfern and Patrick Laforest are on-site conducting work on the Company's Gold...https://www.marketscreener.com/quote/stock/CAT-STRATEGIC-METALS-CORP-54785941/news/CAT-Strategic-Metals-STAKES-MORE-GROUND-AROUND-ITS-GOLD-JACKPOT-PROPERTY-LITHIUM-TARGETS-ARE-TOP-44068069/?utm_medium=RSS&utm_content=20230608",https://www.marketscreener.com/quote/stock/CAT-STRATEGIC-METALS-CORP-54785941/news/CAT-Strategic-Metals-STAKES-MORE-GROUND-AROUND-ITS-GOLD-JACKPOT-PROPERTY-LITHIUM-TARGETS-ARE-TOP-44068069/?utm_medium=RSS&utm_content=20230608,4-traders,general,2023-06-08T07:08:03+00:00,"['marketscreenercom', 'bull', 'increased', 'land', 'position', 'known', 'lithium', 'discovery', 'area', 'bull', 'lithium', 'tellurium', 'exploration', 'planning', 'underway', 'vancouver', 'bc', 'june', '8', '2023', 'cat', 'strategic', 'metal', 'corporation', 'announces', 'consulting', 'geologist', 'rick', 'redfern', 'patrick', 'laforest', 'onsite', 'conducting', 'work', 'company', 'gold']",0.0,0.108,0.892,0.4588,Positive,[],[]
Sigma Lithium (OTCMKTS:SGMLF) Shares Down 1.1%,"Sigma Lithium Corporation (OTCMKTS:SGMLF &#8211; Get Rating)&#8217;s stock price fell 1.1% during mid-day trading on Wednesday . The company traded as low as $41.02 and last traded at $41.07. 309,651 shares traded hands during mid-day trading, an increase of 3,885% from the average session volume of 7,771 shares. The stock had previously closed at $41.54. [&#8230;]",https://www.etfdailynews.com/2023/06/08/sigma-lithium-otcmktssgmlf-shares-down-1-1/,etfdailynews,general,2023-06-08T06:44:45+00:00,"['sigma', 'lithium', 'corporation', 'otcmktssgmlf', '8211', 'get', 'rating8217s', 'stock', 'price', 'fell', '11', 'midday', 'trading', 'wednesday', 'company', 'traded', 'low', '4102', 'last', 'traded', '4107', '309651', 'share', 'traded', 'hand', 'midday', 'trading', 'increase', '3885', 'average', 'session', 'volume', '7771', 'share', 'stock', 'previously', 'closed', '4154', '8230']",0.046,0.215,0.739,0.7783,Positive,[],[]
